junction,period,accident_count,severe_accidents,fatal_accidents,injured_count,fatality_count,vehicles_involved,period_date,accidents_7d,accidents_30d,accidents_90d,accidents_1y,fatal_accidents_1y,injury_accidents_1y,historical_accident_rate,target_period,future_accidents,future_severe_accidents,future_fatal_accidents,future_injuries,future_risk_score,risk_level
Abhyankar Nagar Square,2020-04,1,0,0,3,0,1,2020-04-01,,,,,,,,,,,,,0.0,LOW
Abhyankar Nagar Square,2020-06,1,0,0,3,0,1,2020-06-01,1.0,1.0,,,,,,,,,,,0.0,LOW
Abhyankar Nagar Square,2020-08,1,1,0,2,0,4,2020-08-01,1.0,1.0,,,,,,,,,,,0.0,LOW
Abhyankar Nagar Square,2021-03,1,0,0,1,0,3,2021-03-01,1.0,1.0,3.0,,,,,,,,,,0.0,LOW
Abhyankar Nagar Square,2021-05,1,0,0,1,0,1,2021-05-01,1.0,1.0,3.0,,,,,2021-05-01,1.0,0.0,0.0,0.0,1.0,MEDIUM
Abhyankar Nagar Square,2021-06,1,0,0,0,0,3,2021-06-01,1.0,1.0,3.0,,,,,2021-06-01,2.0,1.0,0.0,7.0,6.4,HIGH
Abhyankar Nagar Square,2021-07,2,1,0,7,0,5,2021-07-01,1.0,1.0,3.0,,,,,,,,,,0.0,LOW
Abhyankar Nagar Square,2021-09,1,1,1,3,1,1,2021-09-01,2.0,2.0,4.0,,,,,,,,,,0.0,LOW
Abhyankar Nagar Square,2022-01,1,0,0,0,0,1,2022-01-01,1.0,1.0,4.0,,,,,2022-01-01,1.0,0.0,0.0,0.0,1.0,MEDIUM
Abhyankar Nagar Square,2022-02,1,0,0,0,0,4,2022-02-01,1.0,1.0,4.0,,,,,,,,,,0.0,LOW
Abhyankar Nagar Square,2022-08,1,0,0,0,0,2,2022-08-01,1.0,1.0,3.0,,,,,,,,,,0.0,LOW
Abhyankar Nagar Square,2022-12,3,0,0,1,0,8,2022-12-01,1.0,1.0,3.0,,,,,,,,,,0.0,LOW
Abhyankar Nagar Square,2023-03,1,0,0,1,0,1,2023-03-01,3.0,3.0,5.0,15.0,1.0,21.0,1.25,,,,,,0.0,LOW
Abhyankar Nagar Square,2023-05,1,0,0,1,0,4,2023-05-01,1.0,1.0,5.0,15.0,1.0,19.0,1.25,,,,,,0.0,LOW
Abhyankar Nagar Square,2023-08,1,0,0,1,0,3,2023-08-01,1.0,1.0,5.0,15.0,1.0,17.0,1.25,2023-08-01,1.0,0.0,0.0,1.0,1.2,MEDIUM
Abhyankar Nagar Square,2023-09,1,0,0,1,0,3,2023-09-01,1.0,1.0,3.0,15.0,1.0,16.0,1.25,2023-09-01,2.0,0.0,0.0,1.0,2.2,HIGH
Abhyankar Nagar Square,2023-10,2,0,0,1,0,7,2023-10-01,1.0,1.0,3.0,15.0,1.0,16.0,1.25,,,,,,0.0,LOW
Abhyankar Nagar Square,2024-01,2,1,0,6,0,4,2024-01-01,2.0,2.0,4.0,16.0,1.0,16.0,1.3333333333333333,2024-01-01,3.0,0.0,0.0,3.0,3.6,HIGH
Abhyankar Nagar Square,2024-02,3,0,0,3,0,7,2024-02-01,2.0,2.0,5.0,17.0,1.0,22.0,1.4166666666666667,,,,,,0.0,LOW
Abhyankar Nagar Square,2024-06,1,0,0,0,0,1,2024-06-01,3.0,3.0,7.0,18.0,1.0,18.0,1.5,2024-06-01,1.0,0.0,0.0,0.0,1.0,MEDIUM
Abhyankar Nagar Square,2024-07,1,0,0,0,0,4,2024-07-01,1.0,1.0,6.0,18.0,0.0,15.0,1.5,2024-07-01,1.0,0.0,0.0,0.0,1.0,MEDIUM
Abhyankar Nagar Square,2024-08,1,0,0,0,0,2,2024-08-01,1.0,1.0,5.0,18.0,0.0,15.0,1.5,,,,,,0.0,LOW
Abhyankar Nagar Square,2024-12,1,0,0,0,0,1,2024-12-01,1.0,1.0,3.0,18.0,0.0,15.0,1.5,2024-12-01,2.0,0.0,0.0,1.0,2.2,HIGH
Abhyankar Nagar Square,2025-01,2,0,0,1,0,3,2025-01-01,1.0,1.0,3.0,18.0,0.0,15.0,1.5,2025-01-01,1.0,0.0,0.0,1.0,1.2,MEDIUM
Abhyankar Nagar Square,2025-02,1,0,0,1,0,1,2025-02-01,2.0,2.0,4.0,17.0,0.0,15.0,1.4166666666666667,2025-02-01,1.0,0.0,0.0,1.0,1.2,MEDIUM
Abhyankar Nagar Square,2025-03,1,0,0,1,0,2,2025-03-01,1.0,1.0,4.0,17.0,0.0,15.0,1.4166666666666667,,,,,,0.0,LOW
Abhyankar Nagar Square,2025-05,2,0,0,1,0,3,2025-05-01,1.0,1.0,4.0,17.0,0.0,15.0,1.4166666666666667,2025-05-01,1.0,0.0,0.0,1.0,1.2,MEDIUM
Abhyankar Nagar Square,2025-06,1,0,0,1,0,2,2025-06-01,2.0,2.0,4.0,18.0,0.0,15.0,1.5,2025-06-01,1.0,0.0,0.0,2.0,1.4,HIGH
Abhyankar Nagar Square,2025-07,1,0,0,2,0,1,2025-07-01,1.0,1.0,4.0,18.0,0.0,15.0,1.5,2025-07-01,1.0,0.0,0.0,1.0,1.2,MEDIUM
Abhyankar Nagar Square,2025-08,1,0,0,1,0,4,2025-08-01,1.0,1.0,4.0,17.0,0.0,16.0,1.4166666666666667,2025-08-01,2.0,1.0,0.0,5.0,6.0,HIGH
Abhyankar Nagar Square,2025-09,2,1,0,5,0,3,2025-09-01,1.0,1.0,3.0,16.0,0.0,11.0,1.3333333333333333,,,,,,0.0,LOW
Airport T-Point,2020-04,1,0,0,0,0,1,2020-04-01,,,,,,,,,,,,,0.0,LOW
