unit_id,unit_type,location_key,source_location_id,location_name,latitude,longitude,status,current_assignment,last_updated,data_type,coordinate_quality
PU001,PATROL,J-A01,1,LIC Chowk,21.1556187,79.0817574,AVAILABLE,,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,VERIFIED_SOURCE_COORDINATE
PU002,RESPONSE,J-A02,2,Lokmat Chowk,21.1354806,79.0780286,AVAILABLE,,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,VERIFIED_SOURCE_COORDINATE
PU003,RESPONSE,J-A03,3,Gaddi Godam Chowk,21.1616305,79.083725,AVAILABLE,,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,VERIFIED_SOURCE_COORDINATE
PU004,PATROL,J-A06,6,Indora Chowk,21.1736873,79.1007283,AVAILABLE,,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,VERIFIED_SOURCE_COORDINATE
PU005,RESPONSE,J-A07,7,Mental Hospital Chowk,21.175596,79.0785247,AVAILABLE,,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,VERIFIED_SOURCE_COORDINATE
PU006,PATROL,J-A08,8,Vaishnodevi Chowk,21.1480272,79.1364057,AVAILABLE,,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,VERIFIED_SOURCE_COORDINATE
PU007,RESPONSE,J-A12,12,Automotive Square,21.1857923,79.1195065,AVAILABLE,,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,VERIFIED_SOURCE_COORDINATE
PU008,PATROL,J-A13,13,Laxmi Nagar Square,21.1254686,79.0639778,AVAILABLE,,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,VERIFIED_SOURCE_COORDINATE
PU009,RESPONSE,J-A15,15,Shankar Nagar Square,21.1362125,79.0616442,AVAILABLE,,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,VERIFIED_SOURCE_COORDINATE
PU010,PATROL,J-A16,16,Ajit Bakery Square,21.129,79.064,AVAILABLE,,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,APPROXIMATE_SOURCE_COORDINATE
PU011,PATROL,J-B01,1,Itwari,21.1569338,79.1102582,AVAILABLE,,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,VERIFIED_SOURCE_COORDINATE
PU012,RESPONSE,J-B04,4,Medical Chowk,21.1314524,79.0977219,AVAILABLE,,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,VERIFIED_SOURCE_COORDINATE
PU013,PATROL,J-B05,5,Cotton Market Chowk,21.1459896,79.0897729,BUSY,INC-1001,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,VERIFIED_SOURCE_COORDINATE
PU014,RESPONSE,J-B08,8,Mate Chowk,21.1216256,79.0564783,BUSY,INC-1002,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,VERIFIED_SOURCE_COORDINATE
PU015,PATROL,J-B10,10,Kamptee Chowk,21.1888687,79.1238271,BUSY,INC-1003,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,APPROXIMATE_SOURCE_COORDINATE
PU016,RESPONSE,J-B12,12,Manewada Chowk,21.1051881,79.1024825,BUSY,INC-1004,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,VERIFIED_SOURCE_COORDINATE
PU017,PATROL,J-B14,14,Ajni Chowk,21.1182122,79.0721071,BUSY,INC-1005,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,VERIFIED_SOURCE_COORDINATE
PU018,RESPONSE,J-B15,15,Chatrapati Chowk,21.109139,79.0696114,OFFLINE,,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,APPROXIMATE_SOURCE_COORDINATE
PU019,PATROL,J-B17,17,Variety Square,21.1434953,79.0809881,OFFLINE,,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,VERIFIED_SOURCE_COORDINATE
PU020,RESPONSE,J-B18,18,Jhansi Rani Square,21.1411618,79.0801886,OFFLINE,,2026-08-16 18:00:00,SIMULATED_PROTOTYPE,VERIFIED_SOURCE_COORDINATE
