junction,period_date,actual_risk,predicted_risk,risk_score,is_error,is_dangerous_underprediction,probabilities,accidents_lag_1,accidents_rolling_mean_3
Airport Square,2025-01-01,LOW,LOW,0.82,False,False,"{""LOW"": 0.9765, ""MEDIUM"": 0.0235, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Airport Square,2025-02-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Airport Square,2025-03-01,LOW,LOW,0.93,False,False,"{""LOW"": 0.9867, ""MEDIUM"": 0.0, ""HIGH"": 0.0133, ""CRITICAL"": 0.0}",2.0,1.0
Airport Square,2025-04-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.667
Airport Square,2025-05-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",2.0,1.333
Airport Square,2025-06-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.667
Airport Square,2025-07-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",1.0,1.0
Airport Square,2025-08-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",2.0,1.0
Airport Square,2025-09-01,LOW,LOW,0.45,False,False,"{""LOW"": 0.9935, ""MEDIUM"": 0.0, ""HIGH"": 0.0065, ""CRITICAL"": 0.0}",2.0,1.667
Airport Square,2025-10-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",1.0,1.667
Airport Square,2025-11-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",2.0,1.667
Airport Square,2025-12-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,1.0
Automotive Square,2025-01-01,LOW,LOW,0.87,False,False,"{""LOW"": 0.9752, ""MEDIUM"": 0.0248, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Automotive Square,2025-02-01,LOW,LOW,0.87,False,False,"{""LOW"": 0.9752, ""MEDIUM"": 0.0248, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",2.0,2.0
Automotive Square,2025-03-01,LOW,LOW,0.93,False,False,"{""LOW"": 0.9867, ""MEDIUM"": 0.0, ""HIGH"": 0.0133, ""CRITICAL"": 0.0}",0.0,1.0
Automotive Square,2025-04-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.667
Automotive Square,2025-05-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Automotive Square,2025-06-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",2.0,0.667
Automotive Square,2025-07-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",1.0,1.0
Automotive Square,2025-08-01,LOW,LOW,1.47,False,False,"{""LOW"": 0.9626, ""MEDIUM"": 0.0329, ""HIGH"": 0.0046, ""CRITICAL"": 0.0}",2.0,1.667
Automotive Square,2025-09-01,LOW,LOW,4.12,False,False,"{""LOW"": 0.9005, ""MEDIUM"": 0.0814, ""HIGH"": 0.0181, ""CRITICAL"": 0.0}",2.0,1.667
Automotive Square,2025-10-01,LOW,LOW,3.06,False,False,"{""LOW"": 0.9179, ""MEDIUM"": 0.0767, ""HIGH"": 0.0053, ""CRITICAL"": 0.0}",4.0,2.667
Automotive Square,2025-11-01,LOW,LOW,3.32,False,False,"{""LOW"": 0.9104, ""MEDIUM"": 0.0842, ""HIGH"": 0.0053, ""CRITICAL"": 0.0}",3.0,3.0
Automotive Square,2025-12-01,LOW,LOW,1.32,False,False,"{""LOW"": 0.9676, ""MEDIUM"": 0.0271, ""HIGH"": 0.0053, ""CRITICAL"": 0.0}",2.0,3.0
Bhande Plot Square,2025-01-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Bhande Plot Square,2025-02-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Bhande Plot Square,2025-03-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
Bhande Plot Square,2025-04-01,LOW,LOW,0.0,False,False,"{""LOW"": 1.0, ""MEDIUM"": 0.0, ""HIGH"": 0.0, ""CRITICAL"": 0.0}",0.0,0.0
