feature,importance
injury_accidents,0.128468372979613
total_accidents,0.12834678928370075
fatal_accidents,0.11827118180655198
accidents_rolling_mean_6,0.08276745367861768
accidents_rolling_mean_3,0.07390152142719747
accidents_90d,0.05946988332918016
historical_accident_rate,0.05513867076660543
accidents_1y,0.050477376060092304
junction_target_enc,0.04958140331655623
injury_accidents_1y,0.04042527419145051
accidents_7d,0.029943409312046473
accidents_rolling_std_3,0.026944939197043407
accidents_30d,0.022742009237013115
accidents_lag_3,0.01673770397586397
accidents_rolling_std_6,0.015802735092975813
month_sin,0.015250980884048328
month,0.01231789359993084
accidents_lag_2,0.012044092409207738
month_cos,0.010964857826137998
quarter,0.010101956862892525
accidents_lag_1,0.00969038984197098
accidents_trend_3_12,0.009135854948106047
fatal_accidents_1y,0.008659304490326732
year,0.005550294847774422
dow_sin,0.0032683811109718605
dow_cos,0.0016036280221036153
junction_ordinal_enc,0.0011187449244329827
weekend_indicator,0.0006251069728972204
day_of_week,0.00043204462743002
is_year_start,0.0002177449772601736
