feature,importance
is_year_start,0.21091078
fatal_accidents,0.11114105
injury_accidents,0.07040367
total_accidents,0.05564964
injury_accidents_1y,0.053039506
accidents_rolling_mean_6,0.047992956
fatal_accidents_1y,0.047435835
accidents_rolling_mean_3,0.04160949
accidents_lag_3,0.038763482
accidents_90d,0.031918723
accidents_7d,0.030286165
accidents_1y,0.02847792
accidents_lag_1,0.028220212
accidents_rolling_std_3,0.026948977
year,0.021000056
historical_accident_rate,0.016968809
month,0.014740051
accidents_rolling_std_6,0.014200833
accidents_30d,0.0141930375
day_of_week,0.013558929
month_cos,0.013384381
dow_cos,0.013253942
month_sin,0.01272099
accidents_lag_2,0.012086269
junction_ordinal_enc,0.009303196
junction_target_enc,0.009263865
accidents_trend_3_12,0.006097761
quarter,0.0040486786
dow_sin,0.0023807338
weekend_indicator,0.0
