junction,period_date,traffic_risk,risk_score,year,month,total_accidents,fatal_accidents,injury_accidents,accidents_7d,accidents_30d,accidents_90d,accidents_1y,fatal_accidents_1y,injury_accidents_1y,historical_accident_rate,quarter,is_year_start,month_sin,month_cos,day_of_week,dow_sin,dow_cos,weekend_indicator,accidents_lag_1,accidents_lag_2,accidents_lag_3,accidents_rolling_mean_3,accidents_rolling_std_3,accidents_rolling_mean_6,accidents_rolling_std_6,accidents_trend_3_12,junction_target_enc,junction_ordinal_enc
Airport Square,2020-01-01,LOW,0.0,2020,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.5,0.866025,2,0.974928,-0.222521,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.599375,0
Airport Square,2020-02-01,LOW,0.0,2020,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.866025,0.5,5,-0.974928,-0.222521,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.599375,0
Airport Square,2020-03-01,LOW,0.0,2020,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,6,-0.781831,0.62349,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.599375,0
Airport Square,2020-04-01,LOW,1.1,2020,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.866025,-0.5,2,0.974928,-0.222521,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.599375,0
Airport Square,2020-05-01,LOW,0.0,2020,5,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.083,2,0,0.5,-0.866025,4,-0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.599375,0
Airport Square,2020-06-01,LOW,0.0,2020,6,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.083,2,0,0.0,-1.0,0,0.0,1.0,0,1.0,0.0,0.0,0.333,0.577,0.2,0.447,1.332,1.599375,0
Airport Square,2020-07-01,LOW,0.0,2020,7,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.083,3,0,-0.5,-0.866025,2,0.974928,-0.222521,0,0.0,1.0,0.0,0.333,0.577,0.167,0.408,1.332,1.599375,0
Airport Square,2020-08-01,LOW,0.0,2020,8,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.083,3,0,-0.866025,-0.5,5,-0.974928,-0.222521,1,0.0,0.0,1.0,0.333,0.577,0.167,0.408,1.332,1.599375,0
Airport Square,2020-09-01,LOW,0.0,2020,9,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.083,3,0,-1.0,-0.0,1,0.781831,0.62349,0,0.0,0.0,0.0,0.0,0.0,0.167,0.408,0.0,1.599375,0
Airport Square,2020-10-01,LOW,6.08,2020,10,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.083,4,0,-0.866025,0.5,3,0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.167,0.408,0.0,1.599375,0
