accidentid,date,year,time,junction,severity,primaryvehicletype,probablecause,weathercondition,injuredcount,fatalitycount,vehiclesinvolved,policecaseregistered,data_source,is_simulated
NGP-00001,2020-01-01,2020,13:27,Jhansi Rani Square,Severe,Car,Poor Visibility (Fog/Rain),Clear,3,0,1,No,SIMULATED,True
NGP-00002,2020-01-04,2020,17:14,Mate Chowk,Minor,Bicycle,Overspeeding,Foggy,0,0,1,Yes,SIMULATED,True
NGP-00003,2020-01-07,2020,11:06,Vaishnodevi Chowk,Minor,Bicycle,Brake Failure,Hot/Humid,1,0,4,Yes,SIMULATED,True
NGP-00004,2020-01-15,2020,10:42,Gaddi Godam Chowk,Severe,Truck,Poor Visibility (Fog/Rain),Clear,5,0,4,Yes,SIMULATED,True
NGP-00005,2020-01-15,2020,17:11,Jhansi Rani Square,Minor,Bus,Distracted Driving,Rainy,0,0,3,Yes,SIMULATED,True
NGP-00006,2020-01-16,2020,15:53,Indora Chowk,Severe,Bicycle,Drunk Driving,Clear,3,0,1,Yes,SIMULATED,True
NGP-00007,2020-01-17,2020,18:32,Mate Chowk,Minor,Motorcycle,Signal Jumping,Overcast,1,0,2,No,SIMULATED,True
NGP-00008,2020-01-20,2020,15:27,Jhansi Rani Square,Minor,Motorcycle,Pedestrian Crossing Violation,Clear,0,0,3,Yes,SIMULATED,True
NGP-00009,2020-01-21,2020,08:43,Chhatrapati Square,Minor,Auto-Rickshaw,Drunk Driving,Clear,1,0,2,Yes,SIMULATED,True
NGP-00010,2020-01-23,2020,09:07,Sitabuldi Chowk,Minor,Car,Lane Violation,Clear,1,0,4,Yes,SIMULATED,True
NGP-00011,2020-01-28,2020,19:23,Kachipura Square,Minor,Auto-Rickshaw,Lane Violation,Clear,0,0,4,No,SIMULATED,True
NGP-00012,2020-01-29,2020,10:51,Medical Chowk,Minor,Truck,Overspeeding,Overcast,0,0,3,Yes,SIMULATED,True
NGP-00013,2020-02-01,2020,19:24,Lokmat Square,Moderate,Car,Pothole/Road Defect,Clear,1,0,1,Yes,SIMULATED,True
NGP-00014,2020-02-05,2020,14:42,Katol Road Chowk,Severe,Auto-Rickshaw,Wrong-side Driving,Foggy,3,0,4,Yes,SIMULATED,True
NGP-00016,2020-02-07,2020,15:16,Pratap Nagar Chowk,Minor,Pedestrian-involved,Lane Violation,Hot/Humid,0,0,2,Yes,SIMULATED,True
NGP-00015,2020-02-07,2020,20:39,Pratap Nagar Chowk,Severe,Car,Brake Failure,Clear,2,0,1,Yes,SIMULATED,True
